ghg_id,fabric_group,fabric_name,fabric_type,process_step,country,env_impact_group,indicator_unit,fabric_eKPI_intensity,ePL_eKPI_intensity
1,Leather,beef/calf,conventional,Abattoir,Algeria,GHGs,kg CO2e,0.716069945,0.052614875
2,Leather,sheep/lamb,conventional,Tanning - RH_WB,Algeria,GHGs,kg CO2e,0.866120644,0.063640193
3,Leather,sheep/lamb,conventional,Tanning - RH_WB - Metal-free,Algeria,GHGs,kg CO2e,1.546629272,0.113642118
4,Leather,sheep/lamb,conventional,Animal rearing,Algeria,GHGs,kg CO2e,33.64593171,2.472211679
5,Fur,None,None,Tanning - RH_WB,Argentina,GHGs,kg CO2e,0.860990449,0.06326324
6,Plant Fibers,cotton,conventional,Ginning,Argentina,GHGs,kg CO2e,0.619595053,0.045526162
7,Fur,None,None,Animal rearing,Argentina,GHGs,kg CO2e,134.0747768,9.851450451
8,Animal Fibers,wool,conventional,Animal rearing,Argentina,GHGs,kg CO2e,126.3125776,9.281105136
9,Leather,sheep/goat,conventional,Abattoir,Australia,GHGs,kg CO2e,0.64386531,0.047309474
10,Animal Fibers,cashmere,conventional,Washing,Australia,GHGs,kg CO2e,2.164392827,0.159033706
11,Animal Fibers,wool,restorative grazing,Washing,Australia,GHGs,kg CO2e,0.967510224,0.071090023
12,Animal Fibers,wool,conventional,Animal rearing,Australia,GHGs,kg CO2e,127.2318349,9.348649664
13,Animal Fibers,wool,organic,Animal rearing,Australia,GHGs,kg CO2e,127.1686432,9.344006514
14,Animal Fibers,silk,conventional,Silk production,Australia,GHGs,kg CO2e,74.276265,5.457618218
15,Animal Fibers,cashmere,conventional,Spinning Weaving and Dyeing,Austria,GHGs,kg CO2e,4.249418352,0.312235719
16,Animal Fibers,mohair,restorative grazing,Spinning Weaving and Dyeing,Austria,GHGs,kg CO2e,4.249418352,0.312235719
17,Animal Fibers,wool,regenerated,Spinning Weaving and Dyeing,Austria,GHGs,kg CO2e,4.249418352,0.312235719
18,Plant Fibers,cotton,conventional,Spinning Weaving and Dyeing,Austria,GHGs,kg CO2e,4.014010629,0.294938599
19,Plant Fibers,hemp,None,Spinning Weaving and Dyeing,Austria,GHGs,kg CO2e,4.014010629,0.294938599
20,Animal Fibers,wool,conventional,Washing,Austria,GHGs,kg CO2e,0.881402334,0.06476305
21,Animal Fibers,wool,conventional,Animal rearing,Austria,GHGs,kg CO2e,127.1487298,9.34254333
22,Plant Fibers,hemp,None,Crop farming,Bangladesh,GHGs,kg CO2e,3.810450702,0.279981568
23,Leather,beef/calf,conventional,Tanning - RH_WB,Belarus,GHGs,kg CO2e,0.866120644,0.063640193
24,Animal Fibers,mohair,conventional,Spinning Weaving and Dyeing,Belgium,GHGs,kg CO2e,4.093422285,0.300773552
25,Animal Fibers,silk,conventional,Spinning Weaving and Dyeing,Belgium,GHGs,kg CO2e,4.315838359,0.317116081
26,Animal Fibers,wool,organic,Spinning Weaving and Dyeing,Belgium,GHGs,kg CO2e,4.315838359,0.317116081
27,Plant Fibers,cotton,conventional,Spinning Weaving and Dyeing,Belgium,GHGs,kg CO2e,4.091446637,0.300628386
28,Plant Fibers,hemp,None,Spinning Weaving and Dyeing,Belgium,GHGs,kg CO2e,4.091446637,0.300628386
29,Leather,beef/calf,conventional,Tanning - RH_WB,Belgium,GHGs,kg CO2e,0.866120644,0.063640193
30,Leather,beef/calf,conventional,Tanning - WB_FL,Belgium,GHGs,kg CO2e,1.054171113,0.07745763
31,Plant Fibers,linen,organic,Ginning,Belgium,GHGs,kg CO2e,0.2975828,0.021865576
32,Synthetic Fibers,elastic,None,Extraction,Belgium,GHGs,kg CO2e,0.069097484,0.005077095
33,Leather,beef/calf,conventional,Abattoir,Bosnia and Herzegovina,GHGs,kg CO2e,0.513481904,0.037729256
34,Leather,sheep/goat,conventional,Tanning - RH_WB,Brazil,GHGs,kg CO2e,1.368080014,0.100522804
35,Plant Fibers,linen,conventional,Crop farming,Brazil,GHGs,kg CO2e,0.885974157,0.065098975
36,Leather,beef/calf,salpa,Animal rearing,Brazil,GHGs,kg CO2e,0.08031664,0.005901449
37,Leather,beef/calf,conventional,Abattoir,Bulgaria,GHGs,kg CO2e,0.513481904,0.037729256
38,Leather,goat,conventional,Abattoir,Bulgaria,GHGs,kg CO2e,0.680765401,0.050020793
39,Leather,beef/calf,conventional,Tanning - RH_WB,Bulgaria,GHGs,kg CO2e,0.866120644,0.063640193
40,Leather,sheep/lamb,conventional,Tanning - RH_WB,Bulgaria,GHGs,kg CO2e,0.866120644,0.063640193
41,Synthetic Fibers,polyester,conventional,Processing,Bulgaria,GHGs,kg CO2e,3.794428291,0.278804285
42,Leather,sheep/lamb,conventional,Animal rearing,Bulgaria,GHGs,kg CO2e,11.5292878,0.847140754
43,Synthetic Fibers,elastic,None,Extraction,Bulgaria,GHGs,kg CO2e,0.069097484,0.005077095
44,Leather,beef/calf,conventional,Abattoir,Canada,GHGs,kg CO2e,0.513481904,0.037729256
